U1/V,IA/nA
35.89,0.8
35.92,0.79
35.94,0.79
35.97,0.77
35.99,0.76
36.01,0.75
36.04,0.74
36.06,0.73
36.09,0.72
36.11,0.71
36.14,0.71
36.16,0.69
36.19,0.68
36.21,0.68
36.23,0.66
36.26,0.65
36.28,0.64
36.31,0.63
36.33,0.63
36.36,0.61
36.38,0.6
36.41,0.6
36.43,0.59
36.45,0.58
36.48,0.57
36.5,0.56
36.53,0.55
36.55,0.54
36.58,0.53
36.6,0.53
36.62,0.52
36.65,0.51
36.67,0.5
36.7,0.49
36.72,0.48
36.75,0.47
36.77,0.47
36.8,0.46
36.82,0.45
36.84,0.44
36.87,0.44
36.89,0.44
36.92,0.42
36.94,0.41
36.97,0.41
36.99,0.4
37.02,0.38
37.04,0.38
37.06,0.37
37.09,0.37
37.11,0.36
37.14,0.34
37.16,0.35
37.19,0.34
37.21,0.32
37.24,0.32
37.26,0.32
37.28,0.31
37.31,0.3
37.33,0.29
37.36,0.29
37.38,0.29
37.41,0.27
37.43,0.27
37.46,0.26
37.48,0.26
37.5,0.24
37.53,0.24
37.55,0.24
37.58,0.23
37.6,0.22
37.63,0.22
37.65,0.21
37.68,0.23
37.7,0.22
37.72,0.21
37.75,0.21
37.77,0.21
37.8,0.2
37.82,0.19
37.85,0.19
37.87,0.19
37.89,0.17
37.92,0.17
37.94,0.17
37.97,0.16
37.99,0.15
38.02,0.15
38.04,0.15
38.07,0.15
38.09,0.13
38.11,0.13
38.14,0.13
38.16,0.13
38.19,0.12
38.21,0.11
38.24,0.11
38.26,0.11
38.29,0.1
38.31,0.1
38.33,0.08
38.36,0.08
38.38,0.07
38.41,0.07
38.43,0.07
38.46,0.07
38.48,0.06
38.51,0.06
38.53,0.06
38.55,0.06
38.58,0.05
38.6,0.05
38.63,0.05
38.65,0.05
38.68,0.05
38.7,0.05
38.73,0.05
38.75,0.05
38.77,0.05
38.8,0.05
38.82,0.05
38.85,0.05
38.87,0.05
38.9,0.05
38.92,0.05
38.94,0.05
38.97,0.06
38.99,0.06
39.02,0.06
39.04,0.06
39.07,0.07
39.09,0.08
39.12,0.08
39.14,0.08
39.16,0.08
39.19,0.09
39.21,0.09
39.24,0.1
39.26,0.11
39.29,0.12
39.31,0.14
39.34,0.14
39.36,0.15
39.38,0.17
39.41,0.17
39.43,0.17
39.46,0.18
39.48,0.2
39.51,0.21
39.53,0.21
39.56,0.23
39.58,0.24
39.6,0.25
39.63,0.25
39.65,0.26
39.68,0.28
39.7,0.29
39.73,0.3
39.75,0.31
39.78,0.33
39.8,0.34
39.82,0.34
39.85,0.35
39.87,0.37
39.9,0.38
39.92,0.39
39.95,0.4
39.97,0.4
39.99,0.42
40.02,0.42
40.04,0.44
40.07,0.45
